self-play´ÎÊý	loss	entropy
8	3.7749331	2.767623663
9	3.744986296	2.758814335
10	3.690165281	2.716382027
11	3.608828545	2.615335703
12	3.550886631	2.578991652
13	3.53632164	2.578077555
14	3.501234055	2.493474483
15	3.475126743	2.521199942
16	3.454958916	2.492684603
17	3.435302019	2.455661535
18	3.414597034	2.43821454
19	3.374398947	2.40411973
20	3.399074078	2.427315474
21	3.400607586	2.436019421
22	3.358752012	2.394656658
23	3.367856979	2.391377926
24	3.380368948	2.40162015
25	3.359772682	2.367234707
26	3.334197044	2.37276125
27	3.341898441	2.367180824
28	3.311422348	2.358222961
29	3.360267878	2.378008127
30	3.356842756	2.383322477
31	3.320832491	2.345933199
32	3.304158449	2.334912062
33	3.351061821	2.362365007
34	3.351644516	2.337621689
35	3.311657429	2.359029293
36	3.363996029	2.383719444
37	3.335768938	2.364573717
38	3.313816071	2.311980724
39	3.318919182	2.362084389
40	3.289759636	2.321082354
41	3.349868536	2.370483398
42	3.356879234	2.371359587
43	3.313037872	2.341877699
44	3.347807646	2.365195751
45	3.318252325	2.354242563
46	3.34573102	2.345796108
47	3.323391438	2.352282524
48	3.342505693	2.349009275
49	3.350007534	2.373023748
50	3.30768919	2.342629194
51	3.333260059	2.353735209
52	3.332743645	2.360664368
53	3.354180336	2.366275787
54	3.315915108	2.327848434
55	3.327640057	2.343884468
56	3.317233562	2.344879389
57	3.306074142	2.331032991
58	3.315674305	2.326109648
59	3.284847736	2.311704874
60	3.2751441	2.314546108
61	3.33220005	2.355421543
62	3.306075811	2.334081888
63	3.315216064	2.325325489
64	3.29742384	2.330105782
65	3.31342864	2.308169365
66	3.320233345	2.349243641
67	3.310370445	2.334358931
68	3.305464268	2.32068634
69	3.339224815	2.348802328
70	3.295806885	2.295959711
71	3.300340414	2.347545624
72	3.285194159	2.310640574
73	3.287701607	2.312048912
74	3.312876225	2.33447814
75	3.260095596	2.278744459
76	3.282554626	2.304013491
77	3.273675919	2.305633545
78	3.286487579	2.319537401
79	3.278467417	2.307690382
80	3.263581038	2.284129143
81	3.280651331	2.30670929
82	3.321974039	2.337903261
83	3.309946537	2.327334881
84	3.248448372	2.27042222
85	3.290039539	2.319815636
86	3.295440197	2.318577528
87	3.291840792	2.294733763
88	3.325098991	2.358049631
89	3.290841579	2.279907465
90	3.286442995	2.324328899
91	3.235803843	2.269041538
92	3.310874462	2.331229687
93	3.325633764	2.31048274
94	3.312068462	2.329589605
95	3.347601414	2.35987258
96	3.279599667	2.309434175
97	3.265050411	2.301881313
98	3.239239931	2.261140585
99	3.311369181	2.319591761
100	3.283465147	2.292766809
101	3.316361427	2.316610336
102	3.288216829	2.333551645
103	3.293809652	2.322960615
104	3.25663805	2.274035454
105	3.266243458	2.311133623
106	3.245612621	2.281688929
107	3.279884815	2.285619736
108	3.253401756	2.287348747
109	3.26052928	2.282889843
110	3.320222139	2.325395823
111	3.224259853	2.263821363
112	3.336249828	2.335178375
113	3.29061079	2.313524008
114	3.250905991	2.282473087
115	3.298881531	2.325749159
116	3.22878027	2.270779133
117	3.253734589	2.272776365
118	3.29132247	2.308019876
119	3.223660707	2.247166634
120	3.254753351	2.281443596
121	3.245667458	2.257134438
122	3.287247419	2.304757357
123	3.276185036	2.294364214
124	3.295368433	2.311719656
125	3.284044266	2.313947916
126	3.303483725	2.309772253
127	3.264170647	2.300038576
128	3.271020412	2.307156086
129	3.262231588	2.287488699
130	3.271151543	2.263115168
131	3.295963764	2.302107096
132	3.285126686	2.310545921
133	3.218465805	2.261492491
134	3.268437386	2.261846781
135	3.225735426	2.244753599
136	3.28830719	2.285609245
137	3.272786617	2.272268534
138	3.262058258	2.282796383
139	3.272565365	2.304704189
140	3.207441092	2.214457512
141	3.298287392	2.329297543
142	3.228350639	2.257557154
143	3.260801792	2.260680676
144	3.238384724	2.257136106
145	3.263973713	2.286561728
146	3.23025465	2.274924278
147	3.247346163	2.269786596
148	3.252101421	2.262624025
149	3.289646626	2.289720058
150	3.273480892	2.292196274
151	3.317358971	2.328420877
152	3.231868982	2.264302254
153	3.205275536	2.253983498
154	3.239135742	2.252914667
155	3.28911829	2.306436777
156	3.263691425	2.294721603
157	3.279398441	2.274795532
158	3.222688437	2.249148846
159	3.280320644	2.266738415
160	3.252019882	2.257024527
161	3.246216297	2.276180983
162	3.264956951	2.279601574
163	3.242534637	2.254920721
164	3.269060135	2.295321703
165	3.288732767	2.292963743
166	3.224670887	2.242776632
167	3.258304119	2.296171188
168	3.242885113	2.235785007
169	3.21214962	2.230787992
170	3.213005543	2.246967554
171	3.238360882	2.254295588
172	3.26285553	2.301614046
173	3.259003401	2.280948639
174	3.237247944	2.275051832
175	3.290730238	2.291811466
176	3.233323097	2.258818865
177	3.197407961	2.252494097
178	3.249744892	2.267360449
179	3.235424519	2.251733303
180	3.205982685	2.232068062
181	3.216140985	2.240489483
182	3.238511562	2.250170469
183	3.199922323	2.239485741
184	3.236421585	2.246888399
185	3.216868877	2.239493608
186	3.236670971	2.234552622
187	3.237148762	2.255418777
188	3.212338448	2.234773636
189	3.234428883	2.244531155
190	3.285632133	2.304053307
191	3.239748478	2.247596264
192	3.202471256	2.217570543
193	3.236484528	2.265330076
194	3.220722675	2.248486042
195	3.155003309	2.202121496
196	3.20190835	2.212496042
197	3.238206148	2.240793467
198	3.223500967	2.236798048
199	3.263554573	2.264248133
200	3.256627083	2.250056028
201	3.253020525	2.284285784
202	3.204630136	2.210200071
203	3.242286682	2.275451899
204	3.201556683	2.239405394
205	3.237056732	2.249699593
206	3.212006092	2.23354888
207	3.27170229	2.273235321
208	3.226409674	2.26047945
209	3.244012356	2.272407293
210	3.237739086	2.26299572
211	3.251763821	2.266307592
212	3.215586185	2.230047703
213	3.212652445	2.237613678
214	3.196985245	2.21168685
215	3.256843567	2.262921572
216	3.232123137	2.282828093
217	3.275295734	2.264277697
218	3.164571285	2.193150997
219	3.157718182	2.179209948
220	3.252905607	2.267865181
221	3.181705475	2.195171833
222	3.221972704	2.246823072
223	3.212971449	2.255123854
224	3.239304066	2.251915216
225	3.200212717	2.212851286
226	3.23941803	2.261474371
227	3.232601166	2.236303329
228	3.220891714	2.249914169
229	3.23926568	2.249929428
230	3.21760869	2.25547719
231	3.183587551	2.222122431
232	3.221925259	2.171402693
233	3.200168133	2.22443819
234	3.238432407	2.257173061
235	3.190898657	2.23643446
236	3.205181122	2.227867603
237	3.161405563	2.192165613
238	3.205076218	2.217921734
239	3.197072506	2.220140696
240	3.17536068	2.197246552
241	3.208819389	2.219654083
242	3.21309185	2.246023417
243	3.228134394	2.208247662
244	3.165159941	2.232056379
245	3.167457819	2.186956644
246	3.183565378	2.213840008
247	3.205152512	2.219591141
248	3.203685284	2.225124836
249	3.172894478	2.194094181
250	3.169997454	2.163932562
251	3.242159367	2.263590336
252	3.181491375	2.193483353
253	3.242491484	2.285471916
254	3.160876989	2.179130077
255	3.204312325	2.226968288
256	3.15320015	2.1579175
257	3.188011408	2.209069967
258	3.209691286	2.211081743
259	3.231746674	2.251166582
260	3.202456474	2.200402975
261	3.181743145	2.206902027
262	3.212648869	2.215659857
263	3.184276104	2.19220686
264	3.232243299	2.254848719
265	3.188193321	2.207691669
266	3.195675135	2.198144197
267	3.177547932	2.191732645
268	3.193589211	2.227265596
269	3.214065552	2.23666358
270	3.211390257	2.231065512
271	3.204623699	2.207219124
272	3.214325905	2.24066329
273	3.21620512	2.228353024
274	3.179564476	2.196074486
275	3.240233421	2.272281647
276	3.190872669	2.205831528
277	3.209617615	2.236954212
278	3.225697279	2.231593847
279	3.167580128	2.189118624
280	3.192053795	2.216257334
281	3.187110662	2.214374542
282	3.198476791	2.231067419
283	3.197636127	2.199874163
284	3.232540369	2.234573126
285	3.201446533	2.239755154
286	3.160151482	2.187997818
287	3.172312975	2.202022076
288	3.201882601	2.20293498
289	3.168975115	2.192274332
290	3.175734043	2.210179806
291	3.181704521	2.205437422
292	3.175439596	2.195922613
293	3.216528893	2.244766712
294	3.237126589	2.262804747
295	3.228673697	2.237552881
296	3.141816139	2.172048569
297	3.219183445	2.246490479
298	3.150082588	2.198027611
299	3.205682278	2.206651449
300	3.207951784	2.217186689
301	3.21329546	2.224544048
302	3.238178492	2.243982077
303	3.176763535	2.215129852
304	3.131053925	2.16955018
305	3.173724174	2.179620981
306	3.170730591	2.198553562
307	3.195274353	2.216395378
308	3.181848288	2.193509102
309	3.230572701	2.231292486
310	3.223267555	2.246205807
311	3.203485489	2.215277433
312	3.186081171	2.215919733
313	3.165234089	2.21192956
314	3.113889456	2.149310827
315	3.207072496	2.226352215
316	3.182993174	2.200510025
317	3.181262493	2.193447113
318	3.176330328	2.185283899
319	3.177765131	2.2042768
320	3.142042637	2.156166553
321	3.177537441	2.201633692
322	3.195126772	2.222123861
323	3.197291851	2.228034496
324	3.212270737	2.232182503
325	3.195610523	2.226991653
326	3.167945147	2.192579746
327	3.15182209	2.188729525
328	3.122712374	2.162559986
329	3.181599617	2.187490463
330	3.157537937	2.191086054
331	3.189437628	2.215379238
332	3.179485798	2.199275017
333	3.16232276	2.208673
334	3.140869617	2.173993111
335	3.181509495	2.205488205
336	3.151928425	2.160571337
337	3.141535044	2.179253817
338	3.147170782	2.177327156
339	3.108228922	2.153918982
340	3.112734079	2.142698288
341	3.163017035	2.171502829
342	3.168418884	2.170509577
343	3.154253244	2.195819855
344	3.069121838	2.106647253
345	3.172558546	2.190490961
346	3.14391017	2.177459002
347	3.148072481	2.15729928
348	3.078434944	2.124579191
349	3.121099949	2.123924494
350	3.106047153	2.133118153
351	3.120767593	2.150583982
352	3.15342617	2.16652751
353	3.103880882	2.142352581
354	3.152525425	2.159521818
355	3.109030724	2.139083385
356	3.064861774	2.103583813
357	3.181859493	2.195406675
358	3.147509336	2.1760571
359	3.116094828	2.137447119
360	3.135317802	2.166153431
361	3.190052032	2.19914794
362	3.124354124	2.134894848
363	3.10116291	2.121235609
364	3.127016544	2.143405199
365	3.146373987	2.154025078
366	3.188284874	2.207052708
367	3.13006568	2.137573004
368	3.159056664	2.192867756
369	3.026987076	2.051657677
370	3.157445431	2.171995878
371	3.086089849	2.113218784
372	3.13845849	2.153641224
373	3.101623535	2.117052794
374	3.135744095	2.142130375
375	3.166328192	2.18253994
376	3.141428471	2.153356791
377	3.083384037	2.124355316
378	3.15418148	2.175251961
379	3.101416588	2.120983839
380	3.095140696	2.120052576
381	3.076734066	2.099106789
382	3.173826933	2.171170235
383	3.152283192	2.166633129
384	3.172558546	2.197194338
385	3.146862984	2.168526173
386	3.102519989	2.133231878
387	3.138177156	2.169991493
388	3.082164288	2.107334137
389	3.14648819	2.156668186
390	3.128333807	2.144010544
391	3.108817101	2.128053665
392	3.122609377	2.155858994
393	3.098644257	2.106621265
394	3.143942356	2.133983135
395	3.158984184	2.162055731
396	3.192982674	2.193416595
397	3.060097933	2.093135595
398	3.120040894	2.151259422
399	3.080097198	2.115430117
400	3.091638803	2.111070395
401	3.104176044	2.111373901
402	3.146938801	2.161519766
403	3.097957611	2.112828255
404	3.135756493	2.141476631
405	3.112092972	2.147465706
406	3.126791477	2.139713764
407	3.069295645	2.102867842
408	3.066292763	2.105278492
409	3.118354321	2.136053562
410	3.067376137	2.083241224
411	3.114406347	2.145368814
412	3.090116978	2.11946559
413	3.07014966	2.056876659
414	3.086760521	2.099770784
415	3.048044682	2.084374428
416	3.134702921	2.138135672
417	3.098206043	2.13505888
418	3.082515478	2.104251385
419	3.096594334	2.113825321
420	3.077378035	2.096966505
421	3.080412388	2.110793114
422	3.074834347	2.097386837
423	3.159460306	2.150751352
424	3.127618551	2.14076066
425	3.059957027	2.087742329
426	3.066457272	2.080666304
427	3.112874985	2.128916025
428	3.112630844	2.124947071
429	3.067712307	2.099686623
430	3.102222443	2.10897541
431	3.114264011	2.12319088
432	3.057661533	2.098475456
433	3.099805355	2.125182629
434	3.059028864	2.069165945
435	3.103844643	2.126426458
436	3.032588005	2.055464506
437	3.095214367	2.106178284
438	3.053712845	2.076898575
439	3.101201534	2.121020079
440	3.081478596	2.068569183
441	3.057096243	2.07570076
442	3.07620883	2.08637023
443	3.037784576	2.096841812
444	3.047480583	2.060891867
445	3.034967422	2.074778795
446	3.017642498	2.05315733
447	3.068143606	2.086495161
448	3.052776814	2.082915783
449	3.07912159	2.12366271
450	3.082117558	2.103461742
451	3.068970203	2.066564083
452	3.036067247	2.085606813
453	3.057501554	2.105228662
454	3.042752743	2.089792967
455	3.02895689	2.061220169
456	3.062522173	2.054809809
457	3.058431625	2.086205959
458	3.077579737	2.101344347
459	3.082602262	2.095751524
460	3.058143616	2.079267263
461	3.064705372	2.101607084
462	3.066272497	2.091104031
463	3.044936657	2.076723099
464	2.959932804	2.009884596
465	3.022111654	2.052104712
466	2.995067835	2.025507212
